1	6910
2	6881
3	6956
4	6942
5	6960
6	6839
7	6890
8	6973
9	6998
10	7264
11	7151
12	7046
13	6961
14	6898
15	6919
16	6937
17	6921
18	6986
19	6817
20	6985
21	7022
22	7279
23	7014
24	6910
25	6829
26	6945
27	6904
28	6850
29	6887
30	6851
31	6784
32	6864
33	7020
34	7217
35	7111
36	7042
37	6976
38	6861
39	6792
40	6755
41	6781
42	6780
43	6844
44	6722
45	6840
46	7071
47	7163
48	6935
49	6843
50	6829
51	6800
52	6785
53	6732
54	6824
55	6772
56	6833
57	6961
58	7087
59	6984
60	6936
61	6868
62	6984
63	6871
64	6810
65	6959
66	6790
67	6766
68	6887
69	7097
70	7149
71	7138
72	6990
73	6932
74	6901
75	6895
76	6945
77	6934
78	6995
79	6942
80	6792
81	7152
82	7098
83	7164
84	7068
85	6934
86	6948
87	6972
88	6967
89	7060
90	6837
91	6913
92	6894
93	7117
94	7066
95	7035
96	7007
97	6932
98	6934
99	6828
100	6890
101	6812
102	6867
103	6806
104	7026
105	7148
106	7216
107	7105
108	6944
109	6913
110	6953
111	6843
112	6845
113	6773
114	6813
115	6831
116	6962
117	7166
118	7121
119	7039
120	6974
121	6925
122	6904
123	6894
124	6870
125	6924
126	7017
127	6964
128	6807
129	7044
130	7145
131	7151
132	6993
133	6949
134	6902
135	7030
136	6871
137	6881
138	6911
139	6772
140	6899
141	6953
142	7287
143	7183
144	7088
145	7000
146	6991
147	6986
148	6894
149	6943
150	6882
151	6914
152	6889
153	7097
154	7289
155	7091
156	6984
157	6974
158	6981
159	6872
160	6909
161	6915
162	6891
163	6936
164	6942
165	7037
166	7073
167	7123
168	7014
169	6950
170	6880
171	6924
172	6899
173	6915
174	6975
175	6959
176	7104
177	7106
178	7303
179	7222
180	7073
181	7050
182	7009
183	6961
184	6905
185	6966
186	6892
187	6877
188	6994
189	7061
190	7322
191	7206
192	7130
193	6987
194	6959
195	6990
196	6889
197	6943
198	6924
199	6756
200	6893
201	6973
202	7181
203	7136
204	7101
205	6977
206	6956
207	6926
208	6944
209	6957
210	6874
211	6923
212	6919
213	7188
214	7123
215	7151
216	6943
217	6959
218	6927
219	6835
220	6830
221	6827
222	6759
223	6947
224	6890
225	7175
226	7131
227	7111
228	6994
229	6891
230	6886
231	6935
232	6898
233	6979
234	6930
235	6859
236	7016
237	7157
238	7349
239	7108
240	7008
241	6832
242	6838
243	6927
244	6932
245	7021
246	6960
247	6889
248	6902
249	7039
250	7222
251	7113
252	6906
253	6852
254	6885
255	6884
256	6884
257	6999
258	6882
259	6862
260	6884
261	7184
262	7169
263	7108
264	7040
265	7006
266	6965
267	6890
268	6950
269	6945
270	7025
271	6951
272	6942
273	6996
274	7227
275	7191
276	7011
277	6945
278	6914
279	6890
280	6940
281	6918
282	6976
283	6917
284	6769
285	7112
286	7099
287	7022
288	6966
289	6908
290	6934
291	6964
292	6872
293	6887
294	6867
295	6841
296	6900
297	6928
298	7201
299	7102
300	7018
301	6960
302	6977
303	6895
304	6929
305	6973
306	6908
307	6805
308	7002
309	6985
310	7204
311	7140
312	6993
313	6871
314	6962
315	6997
316	6902
317	6875
318	7073
319	6851
320	6908
321	7105
322	7154
323	7101
324	7038
325	6914
326	6953
327	6953
328	6915
329	6965
330	6894
331	6911
332	7113
333	7132
334	7174
335	7145
336	7012
337	6968
